country,cases,active,deaths,recovered,updated,lat,long
Afghanistan,234174,15098,7996,211080,2025-06-19 13:54:20.777,33.0,65.0
Albania,334863,1025,3605,330233,2025-06-19 13:54:20.767,41.0,20.0
Algeria,272010,82068,6881,183061,2025-06-19 13:54:20.770,28.0,3.0
Andorra,48015,47850,165,0,2025-06-19 13:54:20.818,42.5,1.6
Angola,107327,1971,1937,103419,2025-06-19 13:54:20.795,-12.5,18.5
Anguilla,3904,3892,12,0,2025-06-19 13:54:20.886,18.25,-63.1667
Antigua and Barbuda,9106,6,146,8954,2025-06-19 13:54:20.872,17.05,-61.8
Argentina,10128845,746,130841,9997258,2025-06-19 13:54:20.651,-34.0,-64.0
Armenia,451831,7892,8777,435162,2025-06-19 13:54:20.756,40.0,45.0
Aruba,44224,1494,292,42438,2025-06-19 13:54:20.820,12.5,-69.9667
Australia,11853144,8716,24414,11820014,2025-06-19 13:54:20.647,-27.0,133.0
Austria,6081287,3811,22542,6054934,2025-06-19 13:54:20.662,47.3333,13.3333
Azerbaijan,835234,745,10400,824089,2025-06-19 13:54:20.735,40.5,47.5
Bahamas,38084,874,844,36366,2025-06-19 13:54:20.826,24.25,-76.0
Bahrain,729549,60,1574,727915,2025-06-19 13:54:20.736,26.0,50.55
Bangladesh,2049377,2019884,29493,0,2025-06-19 13:54:20.698,24.0,90.0
Barbados,110578,1283,648,108647,2025-06-19 13:54:20.794,13.1667,-59.5333
Belarus,994037,1327,7118,985592,2025-06-19 13:54:20.730,53.0,28.0
Belgium,4861695,521,34376,4826798,2025-06-19 13:54:20.670,50.8333,4.0
Belize,71409,70721,688,0,2025-06-19 13:54:20.807,17.25,-88.75
Benin,28036,26,163,27847,2025-06-19 13:54:20.832,9.5,2.25
Bermuda,18860,10,165,18685,2025-06-19 13:54:20.847,32.3333,-64.75
Bhutan,62697,1112,21,61564,2025-06-19 13:54:20.813,27.5,90.5
Bolivia,1212131,12579,22407,1177145,2025-06-19 13:54:20.719,-17.0,-65.0
Bosnia,403615,8143,16388,379084,2025-06-19 13:54:20.757,44.0,18.0
Botswana,330638,788,2801,327049,2025-06-19 13:54:20.768,-22.0,24.0
Brazil,38743918,1783377,711380,36249161,2025-06-19 13:54:20.638,-10.0,-55.0
British Virgin Islands,7392,7328,64,0,2025-06-19 13:54:20.876,18.5,-64.5
Brunei,343719,99893,225,243601,2025-06-19 13:54:20.766,4.5,114.6667
Bulgaria,1339851,8159,38748,1292944,2025-06-19 13:54:20.712,43.0,25.0
Burkina Faso,22114,118,400,21596,2025-06-19 13:54:20.843,13.0,-2.0
Burundi,54721,1114,38,53569,2025-06-19 13:54:20.815,-3.5,30.0
Cabo Verde,64477,305,417,63755,2025-06-19 13:54:20.810,16.0,-24.0
Cambodia,139103,3,3056,136044,2025-06-19 13:54:20.790,13.0,105.0
Cameroon,125379,125,1974,123280,2025-06-19 13:54:20.792,6.0,12.0
Canada,4946090,5744,59034,4881312,2025-06-19 13:54:20.668,60.0,-95.0
Caribbean Netherlands,11682,1168,38,10476,2025-06-19 13:54:20.865,12.2,-68.26
Cayman Islands,31472,22882,37,8553,2025-06-19 13:54:20.831,19.5,-80.5
Central African Republic,15440,127,113,15200,2025-06-19 13:54:20.859,7.0,21.0
Chad,7701,2633,194,4874,2025-06-19 13:54:20.875,15.0,19.0
Channel Islands,101717,168,228,101321,2025-06-19 13:54:20.796,49.21,-2.13
Chile,5384853,67906,64497,5252450,2025-06-19 13:54:20.666,-30.0,-71.0
