date,country,cases,deaths
2020-01-22,Global,557,17
2020-01-23,Global,657,18
2020-01-24,Global,944,26
2020-01-25,Global,1437,42
2020-01-26,Global,2120,56
2020-01-27,Global,2929,82
2020-01-28,Global,5580,131
2020-01-29,Global,6169,133
2020-01-30,Global,8237,172
2020-01-31,Global,9927,214
2020-02-01,Global,12038,260
2020-02-02,Global,16787,364
2020-02-03,Global,19887,428
2020-02-04,Global,23899,494
2020-02-05,Global,27644,566
2020-02-06,Global,30806,636
2020-02-07,Global,34400,721
2020-02-08,Global,37131,808
2020-02-09,Global,40162,908
2020-02-10,Global,42771,1015
2020-02-11,Global,44814,1115
2020-02-12,Global,45232,1120
2020-02-13,Global,60384,1373
2020-02-14,Global,66912,1525
2020-02-15,Global,69055,1668
2020-02-16,Global,71238,1772
2020-02-17,Global,73273,1870
2020-02-18,Global,75155,2010
2020-02-19,Global,75655,2125
2020-02-20,Global,76216,2250
2020-02-21,Global,76846,2254
2020-02-22,Global,78608,2462
2020-02-23,Global,78990,2473
2020-02-24,Global,79558,2633
2020-02-25,Global,80412,2713
2020-02-26,Global,81384,2774
2020-02-27,Global,82728,2817
2020-02-28,Global,84152,2876
2020-02-29,Global,86023,2946
2020-03-01,Global,88402,3000
2020-03-02,Global,90382,3090
2020-03-03,Global,92994,3164
2020-03-04,Global,95338,3260
2020-03-05,Global,98078,3355
2020-03-06,Global,102062,3469
2020-03-07,Global,106199,3573
2020-03-08,Global,109997,3815
2020-03-09,Global,114292,4009
2020-03-10,Global,119051,4284
2020-03-11,Global,126527,4636
2020-03-12,Global,133283,4957
2020-03-13,Global,146477,5460
2020-03-14,Global,157365,5886
2020-03-15,Global,168598,6557
2020-03-16,Global,183165,7268
2020-03-17,Global,198339,8119
2020-03-18,Global,215900,9075
2020-03-19,Global,242987,10217
2020-03-20,Global,272517,11791
2020-03-21,Global,304944,13599
2020-03-22,Global,339156,15427
2020-03-23,Global,381711,17523
2020-03-24,Global,423594,19949
2020-03-25,Global,475075,22920
2020-03-26,Global,535889,26173
2020-03-27,Global,599820,29812
2020-03-28,Global,669402,33861
2020-03-29,Global,725918,37680
2020-03-30,Global,790929,42050
2020-03-31,Global,869371,47218
2020-04-01,Global,955728,53862
2020-04-02,Global,1038176,60115
2020-04-03,Global,1122386,66617
2020-04-04,Global,1182507,72976
2020-04-05,Global,1254222,78897
2020-04-06,Global,1328948,85324
2020-04-07,Global,1397886,93841
2020-04-08,Global,1480062,101061
2020-04-09,Global,1567243,109216
2020-04-10,Global,1653665,116957
2020-04-11,Global,1729180,123939
2020-04-12,Global,1847761,130453
2020-04-13,Global,1919593,136966
2020-04-14,Global,2004226,144323
2020-04-15,Global,2082482,153088
2020-04-16,Global,2176950,160800
2020-04-17,Global,2264830,169688
2020-04-18,Global,2343082,176118
2020-04-19,Global,2419404,182219
2020-04-20,Global,2495886,188730
2020-04-21,Global,2571973,195926
2020-04-22,Global,2654011,203205
2020-04-23,Global,2736728,210475
2020-04-24,Global,2820291,217313
2020-04-25,Global,2903496,223363
2020-04-26,Global,2974291,228179
2020-04-27,Global,3045275,233624
2020-04-28,Global,3121107,240253
2020-04-29,Global,3198435,247233
2020-04-30,Global,3282087,253486
2020-05-01,Global,3371033,259073
2020-05-02,Global,3449295,265119
2020-05-03,Global,3523292,269394
2020-05-04,Global,3600929,274239
2020-05-05,Global,3680614,280386
2020-05-06,Global,3771036,287146
2020-05-07,Global,3860174,293012
2020-05-08,Global,3950657,298967
2020-05-09,Global,4035000,303885
2020-05-10,Global,4110223,308223
2020-05-11,Global,4186364,312301
2020-05-12,Global,4271644,318031
2020-05-13,Global,4355992,323468
2020-05-14,Global,4451634,329217
2020-05-15,Global,4547536,334970
2020-05-16,Global,4641426,339511
2020-05-17,Global,4719789,343391
2020-05-18,Global,4808921,347786
2020-05-19,Global,4904739,352754
2020-05-20,Global,5010162,358160
2020-05-21,Global,5116135,363195
2020-05-22,Global,5223477,368901
2020-05-23,Global,5327627,373355
2020-05-24,Global,5420843,376755
2020-05-25,Global,5509066,378449
2020-05-26,Global,5601428,383229
2020-05-27,Global,5703984,388449
2020-05-28,Global,5823977,393440
2020-05-29,Global,5945413,398596
2020-05-30,Global,6080456,402955
2020-05-31,Global,6183316,406242
2020-06-01,Global,6283580,409983
2020-06-02,Global,6406221,415254
2020-06-03,Global,6517437,420875
2020-06-04,Global,6655667,426403
2020-06-05,Global,6789073,431460
2020-06-06,Global,6918403,435600
2020-06-07,Global,7029415,438857
2020-06-08,Global,7132463,443312
2020-06-09,Global,7258445,448357
2020-06-10,Global,7395607,453783
2020-06-11,Global,7531793,458920
2020-06-12,Global,7659267,463663
2020-06-13,Global,7793175,468056
2020-06-14,Global,7925122,471838
2020-06-15,Global,8050034,475905
2020-06-16,Global,8193933,483023
2020-06-17,Global,8337135,488500
2020-06-18,Global,8480229,493854
2020-06-19,Global,8661225,500212
2020-06-20,Global,8847108,504694
2020-06-21,Global,8940170,509338
